text,label
A little throwback with my favourite person @ Water Wall,0
"glam on @user yesterday for #kcon makeup using @user in #featherette,…",7
Democracy Plaza in the wake of a stunning outcome #Decision2016 @ NBC News,11
Then & Now. VILO @ Walt Disney Magic Kingdom,0
Who never... @ A Galaxy Far Far Away,2
Dinner in FLA tonight // Pan-seared salmon over couscous veggie salad #yum #dinner #florida #salmon…,1
It's my fav seniors last game congrats on beating west @ West Salem…,8
I got to to go formal with my best friend @ Phi Mu at JSU,0
'Cause I Miss My Little Homies .#Throwback #CousinLove @ Indiana University,13
"Birthday Kisses @ Madison, Wisconsin",9
Great time in Tuscaloosa with my girl! @ Bryant–Denny Stadium,9
"A seguir aprendiendo del mundo de las berries (@ John F. Kennedy International Airport (JFK) in Queens, NY, NY)",16
#livinginparadise @ Ramada Plaza Beach Resort,1
"••In order for your life to be ""GREAT"" you must first learn to ""APPRECIATE"" it... •• #Ny…",11
These girls! #seniors2016 #memories #werarab @ The Loft,0
Sully has his own beach style! Yep cowboy boots on the beach:)…,0
Who cares that it's Libra season I'm still celebrating Ti #TiDay…,19
"I love my job @ Decorah, Iowa",0
Because 3 more days @ Echo Beach,1
We didn't stand a chance at all. @user #coffeebeandnce @ Tower Records,7
SUPER night @ Rosen Shingle Creek Hotel & Convention Center,19
When the sun hit you but you just Still Cute,1
acesnewyork is the place to be tonight!! @ ACES New York,4
Slamm.....1st Saturdays wid djkub.... @ Sweet 221 Lounge,6
Haven't posted in awhile! Should probably start up again . Three day weekend before heading…,14
My dad named our cat stoop Wanda speaker box #wtf,2
Nawwwll he said she belongs on a box of fruit loops,2
How I like my coffee strong!! I will be wired all day #onlyused7creamers #strong #cupofjoe…,2
#DisneyOnIce # #DareToDream #Rapunzel @ Cross Insurance Arena,13
Brunch after ballet class on a beautiful Saturday with my dear friend @ Le Neuf Café,5
W H I S K E Y | : @user @ Whiskey Kitchen,10
#newUScitizen @ US Citizenship and Immigration Services,0
So much fun with these amazing girls today shooing for ssbeautyco …,1
"Everything about this weekend #hogvibes @ Fayetteville, Arkansas",15
"Good Night Everyone @ Trenton, New Jersey",5
"4 Miles, sunshine, and smiles. #PalosVerdes I you. #California #Holidays @ Rolling Hills Estates,…",0
back at it @ University of North Carolina - Wilmington Campus Trask…,6
"She only came for the nachos and cheese, that's why she's my big…",0
Happy birthday Madress can't wait for Led Zep tomorrow!!! Here's a cool pic of you drinking…,13
"The backyard...one of my favorite places #nature #newengland @ Swampscott, Massachussetts",5
"a_plus25 ""Shit On My Haters""-Produced By @user #somh ***Link To Full Song In Bio** @ Baton…",15
